2022-09-2015,25.049999999999997,0.592063431771418,651,7,27,43.0,49.0
2022-09-2113,24.55,0.5734678095438511,638,7,22,51.0,38.0
2022-09-2114,25.25,0.6123485739055183,656,6,24,47.0,52.0
2022-09-2115,28.700000000000003,0.6124312354312355,746,6,25,54.0,58.0
2022-09-2213,15.75,0.5256418595679012,409,7,22,36.0,17.0
2022-09-2214,17.25,0.5404297692533803,448,7,23,33.0,27.0
2022-09-2215,19.05,0.5675419312169313,495,6,21,31.0,40.0
2022-09-2216,2.05,0.30690351224664947,53,13,3,1.0,3.0
2022-09-2510,25.099999999999998,0.582178062202715,652,7,19,55.0,37.0
2022-09-2511,15.05,0.5404740961199294,391,7,19,35.0,17.0
2022-09-2512,16.45,0.5943506577013521,427,6,18,37.0,26.0
2022-09-2513,1.7,0.23412514029180698,44,14,3,1.0,2.0
2022-09-2613,27.700000000000003,0.6148792804931694,720,6,28,71.0,35.0
2022-09-2614,23.450000000000003,0.565528587795949,609,6,28,40.0,48.0
2022-09-2615,26.450000000000003,0.6146685300810302,687,6,29,47.0,54.0
2022-09-2713,27.45,0.5985643529053251,713,6,24,66.0,36.0
2022-09-2714,28.650000000000002,0.6138362868484397,744,6,27,65.0,44.0
2022-09-2715,23.700000000000003,0.5824946772363438,616,6,27,43.0,47.0
2022-09-2812,0.8,0.16732510288065847,20,20,1,1.0,0.0
2022-09-2813,20.05,0.5899958436882048,521,6,24,50.0,26.0
2022-09-2814,26.65,0.5897689671696615,692,6,27,55.0,46.0
2022-09-2815,27.049999999999997,0.5953623212564185,703,6,27,53.0,49.0
2022-09-2816,1.0499999999999998,0.21704695767195767,27,13,1,2.0,0.0
2022-09-2913,17.95,0.5534310607730747,466,7,19,40.0,21.0
2022-09-2914,20.0,0.5867040821575543,520,7,20,44.0,29.0
2022-09-2915,26.400000000000002,0.5824619815498288,686,7,23,63.0,35.0
2022-10-0210,19.5,0.5585435706269039,507,7,18,38.0,30.0
2022-10-0211,10.8,0.5002197530864197,280,8,16,19.0,15.0
2022-10-0212,14.55,0.5275164357653392,378,7,18,21.0,31.0
2022-10-0313,21.5,0.5687439545922185,559,7,23,42.0,35.0
2022-10-0314,21.0,0.5848127682245737,546,6,27,41.0,38.0
2022-10-0315,24.5,0.5917172436488408,637,7,27,45.0,43.0
2022-10-0413,20.6,0.552711462303129,535,7,23,52.0,23.0
2022-10-0414,25.700000000000003,0.6009155481221454,668,7,27,54.0,41.0
2022-10-0415,29.95,0.598375886688203,778,7,28,58.0,53.0
2022-10-0416,1.15,0.23959038800705468,29,9,3,2.0,1.0
2022-10-0512,0.7500000000000001,0.18050785634118968,19,19,1,1.0,0.0
2022-10-0513,16.3,0.5410906341857731,423,7,20,43.0,13.0
2022-10-0514,28.6,0.5825007654382656,743,7,25,57.0,48.0
2022-10-0515,24.25,0.5893944970538719,630,7,27,45.0,44.0
2022-10-0516,0.55,nan,14,14,1,1.0,0.0
2022-10-0613,16.85,0.5320926201499118,438,7,18,34.0,23.0
2022-10-0614,19.3,0.593522732617177,501,6,22,46.0,28.0
2022-10-0615,19.5,0.5651953884078884,507,7,20,36.0,36.0
2022-10-0616,0.85,0.16864197530864197,22,22,1,0.0,1.0
2022-10-1113,23.3,0.5923672445609945,605,6,25,65.0,23.0
2022-10-1114,28.0,0.6066386033847839,728,6,28,66.0,43.0
2022-10-1115,28.5,0.6212979474229474,741,6,27,66.0,46.0
2022-10-1213,24.549999999999997,0.5816448616198616,638,6,25,58.0,34.0
2022-10-1214,26.099999999999998,0.6163573790921012,678,6,25,70.0,32.0
2022-10-1215,26.75,0.6072987745857538,695,6,28,52.0,51.0
2022-10-1313,18.65,0.5474429030717224,484,7,19,43.0,21.0
2022-10-1314,26.75,0.6151009070533376,695,6,21,57.0,49.0
2022-10-1315,27.1,0.6227228859103859,704,6,24,51.0,54.0
2022-10-1610,22.7,0.6261656166492973,590,6,23,57.0,34.0
2022-10-1611,18.950000000000003,0.5788531341857731,492,7,21,40.0,30.0
2022-10-1612,16.1,0.5489520953583453,418,7,21,28.0,26.0
2022-10-1713,24.200000000000003,0.5762997062222757,629,7,26,55.0,32.0
2022-10-1714,27.1,0.5953100519079686,704,6,27,56.0,45.0
2022-10-1715,32.55,0.619984172399103,846,6,29,76.0,52.0
2022-10-1813,24.5,0.6087963188431939,637,6,26,71.0,25.0
2022-10-1814,28.85,0.5930040653983363,750,6,24,64.0,47.0
2022-10-1815,34.25,0.6310430424249255,890,6,29,81.0,60.0
2022-10-1816,0.6499999999999999,0.1870793650793651,16,16,1,0.0,1.0
2022-10-1913,23.3,0.619270874418791,605,6,23,63.0,31.0
2022-10-1914,23.45,0.5980122596667735,609,6,26,58.0,31.0
2022-10-1915,30.25,0.6069217212956797,786,6,26,63.0,51.0
2022-10-1916,0.7,0.190407848324515,18,18,1,1.0,0.0
2022-10-2013,15.95,0.536512562463257,414,7,18,37.0,19.0
2022-10-2014,14.850000000000001,0.5249823247354497,386,7,18,24.0,27.0
2022-10-2015,20.65,0.5939637474279835,536,6,19,48.0,30.0
2022-10-2310,20.65,0.5693437150940623,536,7,21,47.0,28.0
2022-10-2311,19.2,0.5467398589065255,499,7,21,36.0,32.0
2022-10-2312,17.7,0.5507875349059377,460,7,17,31.0,30.0
2022-10-2412,1.0,nan,26,13,1,2.0,0.0
2022-10-2413,26.0,0.5801629423303035,676,6,25,72.0,27.0
2022-10-2414,27.299999999999997,0.6090714598801404,709,6,26,61.0,42.0
2022-10-2415,30.1,0.6113331891102725,782,6,28,47.0,66.0
2022-10-2416,0.7000000000000001,0.1624284511784512,18,18,1,0.0,1.0
2022-10-2513,23.4,0.5972946817842651,608,6,24,56.0,33.0
2022-10-2514,24.8,0.5981743184798741,644,6,26,56.0,37.0
2022-10-2515,29.750000000000004,0.6130152704291593,773,6,27,51.0,61.0
2022-10-2516,1.55,0.24419238683127573,40,13,3,0.0,3.0
2022-10-2613,21.45,0.6035116213390519,557,6,24,51.0,33.0
2022-10-2614,28.75,0.6025190790048428,747,6,28,66.0,45.0
2022-10-2615,37.05,0.6411774555184889,963,6,30,108.0,39.0
2022-10-2712,22.55,0.5773644397012453,586,7,5,81.0,0.0
2022-10-2713,21.35,0.544350997574956,555,7,22,46.0,31.0
2022-10-2714,31.4,0.5997408412798017,816,6,23,77.0,41.0
2022-10-2715,29.15,0.6021943160877188,757,6,22,65.0,45.0
2022-10-2716,1.5499999999999998,0.2222845518678852,40,13,3,3.0,0.0
2022-10-284,8.35,0.44464091130604294,217,9,2,23.0,0.0
2022-10-309,18.1,0.5369068931711293,470,7,2,59.0,0.0
2022-10-3010,29.5,0.6363227969175886,767,6,21,73.0,46.0
2022-10-3011,24.15,0.5993633255504783,627,6,24,73.0,21.0
2022-10-3012,20.0,0.5709212710000905,520,7,23,46.0,27.0
2022-10-316,11.3,0.48430776652278845,293,7,1,37.0,0.0
2022-10-317,6.0,0.4197479938271605,156,9,1,17.0,0.0
2022-10-3111,4.85,0.37942978395061727,126,10,1,12.0,0.0
2022-10-3112,0.6,0.19199074074074074,15,15,1,1.0,0.0
2022-10-3113,13.8,0.5205775132275132,358,7,16,32.0,14.0
2022-10-3114,19.7,0.5854113701499117,512,7,21,35.0,38.0
2022-10-3115,22.85,0.5632465119114424,594,7,22,38.0,42.0
2022-10-3116,0.6,nan,15,15,1,0.0,1.0
2022-11-0113,21.5,0.5922422802763081,559,6,23,49.0,32.0
2022-11-0114,30.3,0.6139112936189325,787,6,27,63.0,53.0
2022-11-0115,34.0,0.6154500510518296,884,6,28,81.0,48.0
2022-11-0213,22.75,0.6099508552789804,591,6,25,50.0,37.0
2022-11-0214,24.95,0.5942684006065951,648,6,25,52.0,45.0
2022-11-0215,25.449999999999996,0.5933750194892556,661,6,26,54.0,42.0
2022-11-0313,12.95,0.5256291005291005,336,7,21,26.0,19.0
2022-11-0314,18.4,0.533516661656245,478,7,21,40.0,23.0
2022-11-0315,21.2,0.5919264936067019,551,6,22,52.0,28.0
2022-11-0410,1.95,0.2683492605796527,50,12,1,3.0,1.0
2022-11-0610,23.4,0.5504509244227994,608,7,22,47.0,35.0
2022-11-0611,17.7,0.5567341471928278,460,7,21,42.0,23.0
2022-11-0612,15.65,0.5537465388007056,406,7,21,32.0,23.0
2022-11-0712,0.4,nan,10,10,1,1.0,0.0
2022-11-0713,23.7,0.568486995450537,616,7,26,59.0,29.0
2022-11-0714,29.200000000000003,0.6367695135625692,759,6,29,68.0,49.0
2022-11-0715,27.0,0.5998794452332646,702,7,30,58.0,42.0
2022-11-0716,0.65,nan,16,16,1,0.0,1.0
2022-11-0813,25.799999999999997,0.6163081718307413,670,6,24,65.0,36.0
2022-11-0814,27.35,0.6059717812408785,711,6,28,71.0,33.0
2022-11-0815,40.4,0.6381970179411415,1050,6,30,115.0,46.0
2022-11-0816,2.7,0.3424727366255144,70,11,4,5.0,1.0
2022-11-0912,4.25,0.3565220282276203,110,11,2,10.0,0.0
2022-11-0913,22.1,0.5648980433532517,574,6,24,64.0,19.0
2022-11-0914,33.7,0.6273916425652536,876,6,28,94.0,36.0
2022-11-0915,29.199999999999996,0.6169788274482719,759,6,26,74.0,40.0
2022-11-0916,2.2,0.23108098177542621,57,14,1,4.0,0.0
2022-11-1012,4.3,0.3630586873638344,111,8,2,13.0,0.0
2022-11-1013,16.3,0.5635393242945326,423,7,20,43.0,16.0
2022-11-1014,22.1,0.5530646164021165,574,7,24,57.0,19.0
2022-11-1015,20.75,0.5670875629642991,539,6,21,51.0,27.0
2022-11-1016,0.65,nan,16,16,1,1.0,0.0
2022-11-139,4.9,0.37700284758965313,127,10,5,12.0,0.0
2022-11-1310,21.85,0.5607207710370905,568,7,20,54.0,23.0
2022-11-1311,20.1,0.5600033806985195,522,7,22,53.0,16.0
2022-11-1312,18.75,0.542516586666934,487,7,18,49.0,18.0
2022-11-1313,0.7,nan,18,18,1,1.0,0.0
2022-11-1412,3.1,0.30567580344895157,80,13,1,6.0,0.0
2022-11-1413,28.25,0.5937557631668743,734,7,24,73.0,29.0
2022-11-1414,34.55,0.6198578846194654,898,6,27,93.0,41.0
2022-11-1415,32.35,0.5984411818248624,841,6,27,70.0,51.0
2022-11-1416,1.55,0.2226362886085108,40,13,2,3.0,0.0
2022-11-1512,4.6,0.39052614596254953,119,9,1,12.0,0.0
2022-11-1513,30.450000000000003,0.6202917720910778,791,6,24,89.0,29.0
2022-11-1514,28.8,0.6168721569197263,748,6,28,76.0,37.0
2022-11-1515,28.049999999999997,0.5886168285032868,729,6,28,73.0,35.0
2022-11-1516,0.7,0.14837705761316872,18,18,1,1.0,0.0
2022-11-1612,1.05,0.25986625514403294,27,13,2,2.0,0.0
2022-11-1613,21.6,0.5875493237600876,561,7,19,56.0,24.0
2022-11-1614,22.55,0.5534505675137619,586,7,25,49.0,30.0
2022-11-1615,25.85,0.6122703837828838,672,6,26,71.0,28.0
2022-11-1616,0.9500000000000001,0.28485596707818933,24,12,2,2.0,0.0
2022-11-1712,2.35,0.2681927549826515,61,15,1,4.0,0.0
2022-11-1713,18.5,0.5822184138007055,481,6,18,53.0,17.0
2022-11-1714,21.3,0.5357599502931009,553,7,19,54.0,17.0
2022-11-1715,18.15,0.5633276638741918,471,7,18,45.0,21.0
2022-11-1716,0.6,nan,15,15,1,1.0,0.0
2022-11-209,3.0,0.329045966197927,78,11,2,7.0,0.0
2022-11-2010,20.5,0.5658629188712522,533,7,22,57.0,17.0
2022-11-2011,21.15,0.5673742816725456,549,7,22,54.0,18.0
2022-11-2012,15.849999999999998,0.5363424107142857,412,7,20,38.0,16.0
2022-11-2013,1.25,0.20447577628133184,32,16,1,2.0,0.0
2022-11-2112,3.6,0.3477472312999274,93,10,2,9.0,0.0
2022-11-2113,27.6,0.6137193104991716,717,6,24,85.0,23.0
2022-11-2114,25.099999999999998,0.6090874413652191,652,6,24,63.0,33.0
2022-11-2115,33.9,0.6198023726825402,881,6,25,80.0,50.0
2022-11-2116,1.15,0.2089325396825397,29,14,1,1.0,1.0
2022-11-2213,22.8,0.5785217153987987,592,7,21,54.0,30.0
2022-11-2214,32.3,0.6278817245126272,839,6,26,75.0,51.0
2022-11-2215,34.45,0.6288948871665886,895,6,26,70.0,65.0
2022-11-2313,17.0,0.543035277042916,442,7,18,36.0,24.0
2022-11-2314,22.1,0.5851401578616856,574,7,25,40.0,41.0
2022-11-2315,23.1,0.5793287477954144,600,6,25,48.0,39.0
2022-11-2316,1.0,0.2186111111111111,26,13,2,0.0,2.0
2022-11-2412,0.7,0.17950617283950612,18,18,1,1.0,0.0
2022-11-2413,14.5,0.5450024966931217,377,7,18,28.0,23.0
2022-11-2414,17.15,0.5418190274103468,445,7,21,32.0,29.0
2022-11-2415,18.950000000000003,0.5537314355526161,492,7,20,32.0,36.0
2022-11-2416,1.5499999999999998,0.22873597081930416,40,13,2,3.0,0.0
2022-11-2610,1.0,0.19205555555555556,26,13,1,2.0,0.0
2022-11-2612,0.6,0.18684193121693124,15,15,1,1.0,0.0
2022-11-2710,20.6,0.568248276247929,535,7,20,42.0,32.0
2022-11-2711,23.25,0.5592683120891454,604,7,21,47.0,34.0
2022-11-2712,17.4,0.5659915399029982,452,7,20,26.0,38.0
2022-11-2713,0.65,nan,16,16,1,1.0,0.0
2022-11-2813,28.15,0.587400893358185,731,7,26,70.0,32.0
2022-11-2814,30.75,0.6211742104731688,799,6,28,72.0,47.0
2022-11-2815,31.75,0.6171747284052942,825,6,28,72.0,54.0
2022-11-2911,0.6,0.17937499999999998,15,15,1,1.0,0.0
2022-11-2913,23.2,0.5781206836887393,603,7,21,55.0,29.0
2022-11-2914,22.25,0.5834481624471208,578,6,24,43.0,42.0
2022-11-2915,21.75,0.6003750813358453,565,6,24,44.0,41.0
2022-11-2919,3.0500000000000003,0.3013575275997151,79,13,1,6.0,0.0
2022-11-306,2.25,0.26352935773074665,58,11,1,5.0,0.0
2022-11-3013,21.75,0.5630953730425953,565,7,21,52.0,26.0
2022-11-3014,20.15,0.5729452629803324,523,7,24,43.0,31.0
2022-11-3015,26.799999999999997,0.6006345069667987,696,6,24,51.0,51.0
2022-11-3016,0.8,0.1812301587301587,20,20,1,1.0,0.0
2022-12-0113,20.1,0.5559611809229864,522,7,20,53.0,19.0
2022-12-0114,19.200000000000003,0.57616867835097,499,7,20,48.0,22.0
2022-12-0115,20.9,0.5724965091235924,543,7,24,47.0,29.0
2022-12-0116,0.75,nan,19,19,1,1.0,0.0
2022-12-0410,19.3,0.5558427240198073,501,7,19,45.0,22.0
2022-12-0411,14.8,0.5517465590094062,384,7,17,37.0,15.0
2022-12-0412,16.55,0.5613513778659612,430,6,18,40.0,23.0
2022-12-0513,22.7,0.572494432008321,590,7,28,42.0,39.0
2022-12-0514,27.25,0.6046007954365593,708,6,29,55.0,52.0
2022-12-0515,30.8,0.6090014805282166,800,6,28,61.0,57.0
2022-12-0610,2.2,0.30864462151788546,57,11,1,5.0,0.0
2022-12-0611,1.15,0.23841122868900644,29,14,1,2.0,0.0
2022-12-0612,1.05,0.2135108024691358,27,13,1,2.0,0.0
2022-12-0613,18.05,0.5836264770723104,469,6,23,52.0,16.0
2022-12-0614,25.55,0.5944535730730175,664,7,26,59.0,34.0
2022-12-0615,26.75,0.5778761321497433,695,7,28,58.0,40.0
2022-12-0616,1.15,0.22848933782267114,29,14,2,1.0,1.0
